tweetId,created,topic,text,sentiment,source,country,city,lat,lng,tweet_like_count,tweet_quoted_count,tweet_reply_count,tweet_retweet_count,user_followers_count,user_following_count,user_posted_tweet_count,reliability,country_lon,country_lat,Reliability Categories
1.49283e+18,2022-02-19,Gun Control,SAFE Act guncontrol update Men Shot Killed Bronx Late Saturday,1,TweetDeck,United States,New York,26.623628,-80.058728,17,0,11,16,403,236,14815,0.29,-100.445882,39.7837304,Low
1.49284e+18,2022-02-19,Gun Control,This work well guncontrol Eric Adams Wants End Drill Rap Now That Knows What,1,TweetDeck,United States,New York,34.530189,-101.735067,11,0,12,13,403,236,14815,0.02,-100.445882,39.7837304,Very Low
1.49286e+18,2022-02-19,Gun Control,Screen follow everyone LIKES drcole GunControl,3,Twitter Web App,United States,Helena,46.59808,-112.020152,220,1,24,80,110872,95373,207011,0.62,-100.445882,39.7837304,High
1.49289e+18,2022-02-19,Rehab,morningworkout work favorite time intradrink Rehab carb EAAs BCAAs pterostilbene fitness recovery accessadabtaccomplish traintofailure use code Jimm,3,Instagram,Paraguay,Boqueron,-21.816762,-61.209021,15,0,11,10,1527,2610,13694,0.66,-58.1693445,-23.3165935,High
1.49289e+18,2022-02-19,Rehab,drinking druguse pushed edge complete breakdown Then stint rehab made question much really understand addiction Read PrivateRehab Rehabilitation ResidentialRehab Detoxification,1,Semrush Social Media Tool,United States,Valhalla,24.74208,-80.97757,11,0,13,11,42,130,360,0.83,-100.445882,39.7837304,Very High
1.4929e+18,2022-02-19,Rehab,salute yall going rehab SuperBowl,2,Twitter for Android,Maldives,Faafu,3.248535,73.032249,17,0,11,15,656,2976,8835,0.76,73.3287853,4.7064352,High
1.4929e+18,2022-02-19,Gun Control,Camera Hogg white knights always shocked take seriously Bitch simping failure child exploiting classmates deaths attack peaceful citizens rights unjust guncontrol Sit quiet,1,Twitter Web App,Indonesia,Cakrawala,-6.9817,110.3849,24,0,14,11,283,657,17237,0.3,117.8902853,-2.4833826,Low
1.4929e+18,2022-02-19,Rehab,video instructions provided subtitles along demonstration exercises resistancetraining rehab introductions beginners dumbbell singledumbbellworkout,2,Twitter Web App,United States,Montezuma,37.315951,-108.596674,13,0,10,17,37,432,2917,0.65,-100.445882,39.7837304,High
1.49291e+18,2022-02-19,Gun Control,MomsDemand Action Messaging Fail Watts Blames Men Pretends Women Gun Owners Don Exist shannonwattsmeltdown everytown guncontrol hypocrites bolshevikscum secondamendment gunrights,1,TweetDeck,United States,Avila Beach,35.197289,-120.718755,10,0,10,10,613,303,1034,0.94,-100.445882,39.7837304,Very High
1.49291e+18,2022-02-19,Rehab,Isolation shame pose bigrisks recovery addiction problems yet campussupport programmes rare Read PrivateRehab Rehabilitation ResidentialRehab Detoxification DrugRehab AlcoholRehab AlcoholRehabCentre Rehab,2,Semrush Social Media Tool,Vietnam,Tan Binh,10.81691,106.63832,11,0,13,17,33,74,388,0.4,108.4265113,13.2904027,Low
